COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue,Ind_Financial Services,Ind_Healthcare & Pharmaceuticals,Ind_Industrial Manufacturing & Capital Goods,Ind_Information Technology & Digital Platforms,"Ind_Infrastructure, Construction & Utilities","Ind_Materials, Energy & Commodities"
Clean Science and Technology Limited,CLEAN,0.0,0.8622838684160381,-7.187334968488879,1.3333333333333333,-0.653268766557067,-0.4963270431641912,1.7876839752066627,0.5654853620955314,0.6777378507871323,-0.5613993833934264,7.586722039568553,-0.29254022428083865,-0.4210332405771659,0.0,0.0,0.0,0.0,0.0,1.0
Computer Age Management Services Limited,CAMS,1.0169491525423728,1.138392686277627,-12.747036462282805,73.33333333333333,-0.3745094056489198,-0.2375251283250148,1.9898767511135254,1.9259589652096345,1.7502908966461328,-0.42731358102105865,3.4385995270231304,-0.003900536323744519,-0.08591029113366296,0.0,0.0,0.0,1.0,0.0,0.0
Concord Biotech Limited,CONCORDBIO,1.2881355932203389,0.6948459398088305,-0.34387200124949663,1.3333333333333333,-0.6059344630661029,-0.3011849458920889,1.6068870676372224,0.16730192198524052,0.3606605065023956,-0.5440442598108377,7.586722039568553,-0.3959044368600683,-0.37416642985844345,0.0,1.0,0.0,0.0,0.0,0.0
Concord Enviro Systems Limited,CEWATER,0.2711864406779661,0.6470559532631587,0.3758156224395769,-0.6666666666666666,-0.33779285537991405,-0.40727532405129224,-0.1203102810048918,-0.7054577893114915,-0.5369096509240247,-0.07791189841667963,-0.19778508392455438,-0.28993986673167577,-0.8022887088101729,0.0,0.0,0.0,0.0,1.0,0.0
Corona Remedies Limited,CORONA,-0.06779661016949153,1.0048756114565984,0.24399995492278784,-0.3333333333333333,0.05821374124782527,8.157117662686192,0.016215033846729184,0.18481874949314722,0.16904517453798754,-0.39436693316611793,0.7462075330218608,0.5161709735088577,-0.1609889866520441,0.0,1.0,0.0,0.0,0.0,0.0
Craftsman Automation Limited,CRAFTSMAN,0.0,1.2966664557319774,-12.607930735654223,0.6666666666666666,0.8367923278151596,-0.028054372458539836,0.06727641926615346,-0.12464520314654146,-0.14457563312799473,0.6243141558237969,-0.17598200380688697,-0.016902324069559438,1.1129760279193643,0.0,0.0,1.0,0.0,0.0,0.0
Credo Brands Marketing Limited,MUFTI,0.2711864406779661,-0.14252868698122947,0.023993328900743828,0.0,-0.040298542480595174,-0.022814676348496692,0.5072528407653291,0.29750223015165034,-0.011687200547570277,-0.5309479019700057,-0.057593585972198186,-0.10336421257922983,-0.755879586646156,0.0,0.0,0.0,0.0,0.0,0.0
Cyient DLM Limited,CYIENTDLM,0.6779661016949152,-0.18983791036053016,1.7383845845065626,1.3333333333333333,-0.299746671428782,-0.17370102747046223,-0.21599018114451357,0.18222366393642025,-0.2245208761122518,1.0867168312692688,-0.1564861279344754,-0.07671054770030887,-0.2233537324419611,0.0,0.0,1.0,0.0,0.0,0.0
DEE Development Engineers Limited,DEEDEV,1.0169491525423728,-0.4186954124187962,-0.16783510856677886,-0.3333333333333333,0.1859457598899107,0.9831681350833416,-0.15708003629934736,-0.8525667018084504,-0.5685318275154004,0.43507341798610044,-0.2338928303628078,-0.37835202340321805,-0.3058873753520788,0.0,0.0,1.0,0.0,0.0,0.0
DOMS Industries Limited,DOMS,-0.2033898305084746,0.7499945892852482,0.18830207491719855,-0.3333333333333333,0.7214178246034121,1.3421540771491023,0.008094374934856648,0.2454788743816397,0.2964921286789867,-0.22579296650467678,0.5759358597219819,0.7241995774418983,0.20739321179750056,0.0,0.0,0.0,0.0,0.0,0.0
